1,BY48723,2018-01-01
2,BY48721,2018-01-01
3,BY48725,2018-01-01
4,BY29786,2018-01-01
5,BY227553,2019-01-01
6,BY227562,2019-01-01
7,S26622,2014-01-01
8,S26637,2014-01-01
9,S26647,2014-01-01
10,S26659,2014-01-01
11,S26681,2014-01-01
12,S26701,2014-01-01
13,S26713,2014-01-01
14,S26717,2014-01-01
15,S26718,2014-01-01
16,S26745,2014-01-01
17,S26771,2014-01-01
18,S26777,2014-01-01
19,S26802,2014-01-01
20,S26808,2014-01-01
21,S26825,2014-01-01
22,S26830,2014-01-01
23,S26834,2014-01-01
24,S26836,2014-01-01
25,S26837,2014-01-01
26,S26849,2014-01-01
27,S26918,2014-01-01
28,S26997,2014-01-01
29,S27004,2014-01-01
30,S27018,2014-01-01
31,S27023,2014-01-01
32,S27027,2014-01-01
33,S27044,2014-01-01
34,S27047,2014-01-01
35,S27077,2014-01-01
36,S26613,2014-01-01
37,S26652,2014-01-01
38,S26671,2014-01-01
39,S26676,2014-01-01
40,S26683,2014-01-01
41,S26709,2014-01-01
42,S26730,2014-01-01
43,S26737,2014-01-01
44,S26840,2014-01-01
45,S26858,2014-01-01
46,S26934,2014-01-01
47,S26963,2014-01-01
48,S26964,2014-01-01
49,S26977,2014-01-01
50,S26985,2014-01-01
51,S27012,2014-01-01
52,S27019,2014-01-01
53,S27033,2014-01-01
54,S27046,2014-01-01
55,S27086,2014-01-01
56,S27098,2014-01-01
57,S26599,2014-01-01
58,SUR36,2014-06-01
59,BY29782,2018-01-01
60,S27111,2014-01-01
61,Y31838,2017-01-01
62,S27020,2014-01-01
63,S27112,2014-01-01
64,BY227564,2019-01-01
65,BY227566,2019-01-01
66,BY227552,2019-01-01
67,BY227557,2019-01-01
68,S26607,2014-01-01
69,S26619,2014-01-01
70,S26632,2014-01-01
71,S26636,2014-01-01
72,S26643,2014-01-01
73,S26679,2014-01-01
74,S26682,2014-01-01
75,S26685,2014-01-01
76,S26691,2014-01-01
77,S26716,2014-01-01
78,S26719,2014-01-01
79,S26722,2014-01-01
80,S26763,2014-01-01
81,S26775,2014-01-01
82,S26786,2014-01-01
83,S26810,2014-01-01
84,S26817,2014-01-01
85,S26823,2014-01-01
86,S26845,2014-01-01
87,S26853,2014-01-01
88,S26868,2014-01-01
89,S26894,2014-01-01
90,S26916,2014-01-01
91,S26931,2014-01-01
92,S26952,2014-01-01
93,S26958,2014-01-01
94,S26969,2014-01-01
95,S26982,2014-01-01
96,S26990,2014-01-01
97,S26602,2014-01-01
98,S26992,2014-01-01
99,S26606,2014-01-01
100,S27057,2014-01-01
101,S27091,2014-01-01
102,S26610,2014-01-01
103,S26620,2014-01-01
104,S26623,2014-01-01
105,S26658,2014-01-01
106,S26667,2014-01-01
107,S26668,2014-01-01
108,S26677,2014-01-01
109,S26690,2014-01-01
110,S26704,2014-01-01
111,S26712,2014-01-01
112,S26721,2014-01-01
113,S26738,2014-01-01
114,S26758,2014-01-01
115,S26773,2014-01-01
116,S26778,2014-01-01
117,S26783,2014-01-01
118,S26791,2014-01-01
119,S26796,2014-01-01
120,S26797,2014-01-01
121,S26803,2014-01-01
122,S26815,2014-01-01
123,S26820,2014-01-01
124,S26846,2014-01-01
125,S26869,2014-01-01
126,S26874,2014-01-01
127,S26876,2014-01-01
128,S26947,2014-01-01
129,S26953,2014-01-01
130,S26960,2014-01-01
131,S27049,2014-01-01
132,S27051,2014-01-01
133,S27056,2014-01-01
134,S27080,2014-01-01
135,S27102,2014-01-01
136,S27106,2014-01-01
137,BY29793,2018-01-01
138,BY29783,2018-01-01
139,BY29787,2018-01-01
140,BY29781,2018-01-01
141,HU240,2017-01-01
142,BY29779,2018-01-01
143,DC1163,2019-01-01
144,BY227558,2019-01-01
145,BY227580,2019-01-01
146,FT92260,2019-01-01
147,BY227870,2019-01-01
148,BY227582,2019-01-01
149,BY227710,2019-01-01
150,BY29785,2018-01-01
151,BY29789,2018-01-01
152,BY29792,2018-01-01
153,S26605,2014-01-01
154,S26614,2014-01-01
155,S26638,2014-01-01
156,S26649,2014-01-01
157,S26650,2014-01-01
158,S26657,2014-01-01
159,S26660,2014-01-01
160,S26662,2014-01-01
161,S26688,2014-01-01
162,S26695,2014-01-01
163,S26707,2014-01-01
164,S26759,2014-01-01
165,S26760,2014-01-01
166,S26761,2014-01-01
167,S26779,2014-01-01
168,S26781,2014-01-01
169,S26782,2014-01-01
170,S26799,2014-01-01
171,S26814,2014-01-01
172,S26828,2014-01-01
173,S26842,2014-01-01
174,S26863,2014-01-01
175,S26864,2014-01-01
176,S26884,2014-01-01
177,S26970,2014-01-01
178,S26971,2014-01-01
179,S27028,2014-01-01
180,S27042,2014-01-01
181,S27060,2014-01-01
182,S27076,2014-01-01
183,S27095,2014-01-01
184,BY29790,2018-01-01
185,BY35501,2018-01-01
186,BY227559,2019-01-01
187,BY227555,2019-01-01
188,BY227556,2019-01-01
189,S26734,2014-01-01
190,S26739,2014-01-01
191,S26750,2014-01-01
192,S26752,2014-01-01
193,S26756,2014-01-01
194,S26768,2014-01-01
195,S26789,2014-01-01
196,S26794,2014-01-01
197,S26801,2014-01-01
198,S26809,2014-01-01
199,S26819,2014-01-01
200,S26826,2014-01-01
201,S26835,2014-01-01
202,S26897,2014-01-01
203,S26910,2014-01-01
204,S26965,2014-01-01
205,S26967,2014-01-01
206,S26994,2014-01-01
207,S27006,2014-01-01
208,S27022,2014-01-01
209,S27041,2014-01-01
210,S27045,2014-01-01
211,S27088,2014-01-01
212,S26984,2014-01-01
213,S26600,2014-01-01
214,S26603,2014-01-01
215,S26626,2014-01-01
216,S26628,2014-01-01
217,S26630,2014-01-01
218,S26635,2014-01-01
219,S26653,2014-01-01
220,S26664,2014-01-01
221,S26670,2014-01-01
222,S26673,2014-01-01
223,S26678,2014-01-01
224,S26687,2014-01-01
225,S26692,2014-01-01
226,S26696,2014-01-01
227,S26706,2014-01-01
228,S26727,2014-01-01
229,S26729,2014-01-01
230,S26744,2014-01-01
231,S26753,2014-01-01
232,S26776,2014-01-01
233,S26811,2014-01-01
234,S26832,2014-01-01
235,S26878,2014-01-01
236,S26950,2014-01-01
237,S26954,2014-01-01
238,S26962,2014-01-01
239,S26968,2014-01-01
240,S27002,2014-01-01
241,S27024,2014-01-01
242,S27030,2014-01-01
243,S27052,2014-01-01
244,S27068,2014-01-01
245,S27071,2014-01-01
246,S27072,2014-01-01
247,S27109,2014-01-01
248,BY29780,2018-01-01
249,BY206493,2019-01-01
250,BY227561,2019-01-01
